created_at,tweet_id,text,user_id,geo,coordinates,user_name,user_location,place,friend,followers,language
2017-02-05 00:00:10,828030419996114944,RT @FoxNews: Here's what President #DonaldTrump did in week two of his presidency. https://t.co/glJLO2tlPA,275006969,,,Tucker Latture,Knoxville ΦΣΚ,,195,234,en
2017-02-05 00:00:09,828030414958702592,RIGGED: New Poll Suggests 40% Want Trump Impeached; Just One HUGE Problem… https://t.co/wADEpbkNBi 👈 see here 🇺🇸… https://t.co/FEXq9ENQ5r,472443500,,,Potus High News,Estados Unidos,,1,17338,en
2017-02-04 23:59:24,828030227683090434,IM DEAD ASF!!! #Retweet #DonaldTrump https://t.co/VMZaSSDcsL,1849915819,,,LA'TOUK,United States,,2367,1046,en
2017-02-04 23:57:28,828029741089296384,RT @BernieTheBest1: RT jeffrae: Thousands are currently rallying against #DonaldTrump at #stonewallinn in #nyc https://t.co/crRE41qOzO,97053017,,,Laura M Miranda Esq.,New York City,,4739,1857,en
2017-02-04 23:56:08,828029401761734656,RT @cannabist: Our most popular story from the week: National DA group mobilizes to advise #DonaldTrump on pot policy. https://t.co/Y0xeKp6…,2969844789,,,Sinsemedia,,,77,24584,en
2017-02-04 23:55:29,828029239949656064,RT @cannabist: Our most popular story from the week: National DA group mobilizes to advise #DonaldTrump on pot policy. https://t.co/Y0xeKp6…,357283604,,,Rahil,"Dallas, TX",,145,279,en
2017-02-04 23:55:00,828029118809726977,Our most popular story from the week: National DA group mobilizes to advise #DonaldTrump on pot policy.… https://t.co/WAHxroauN4,97322276,,,The Cannabist,"Denver, Colorado",,10163,55542,en
2017-02-04 23:52:44,828028548703096833,RT @EagleNewsPotus: JUSTICE: Trump Actually Did It… Obama and His Cronies Will Freak https://t.co/9qKrkoud3A 👈 🇺🇸 #DonaldTrump https://t.co…,2235771055,,,나라사랑1012,대한민국 서울,,4202,3207,en
2017-02-04 23:49:12,828027657220599808,JUSTICE: Trump Actually Did It… Obama and His Cronies Will Freak https://t.co/9qKrkoud3A 👈 🇺🇸 #DonaldTrump https://t.co/4Xn3tmVi3n,1125455396,,,TRUMP Eagle NEWS,Estados Unidos,,298,439,en
2017-02-04 23:49:08,828027643958222848,"Congress Tells Obama to GET LOST, Repeals Massive Part of His Agenda https://t.co/EKWXj2J0aB 👈 🇺🇸 #DonaldTrump https://t.co/R3Y2ks6efi",1125455396,,,TRUMP Eagle NEWS,Estados Unidos,,298,439,en
2017-02-04 23:48:38,828027515696472065,"@realDonaldTrump is a narcissist. If he's impeached, I pray that he doesn't commit suicide. #DonaldTrump #PrayforAll #MakeAmericaGreatAgain",3087554501,,,Roz,USA,,34,2,en
2017-02-04 23:46:19,828026932008660992,RT @FoxNews: Here’s what President #DonaldTrump has accomplished during his first week in office. https://t.co/LB5X7PLKC6 https://t.co/MsMb…,3006597155,,,patriotgirl ن,"Missouri, USA",,5565,6417,en
2017-02-04 23:45:16,828026666798559232,"Meet The 3 NON-RUSSIAN Hackers Behind The Hacks: Brothers Abid, Imran, and Jamal Awan https://t.co/4pXH0MVr0y  🇺🇸… https://t.co/vTeuL9XE62",1080802346,,,AMERICAN NEWS,Estados Unidos,,1,1258,en
2017-02-04 23:44:24,828026450750095363,#DonaldTrump      Doesn't Dumb as a Stump Trump realize that everyone is laughing at him. He is best joke going on late night tv.,2917735460,,,@vagentlemantoo,everywhere,"Place(_api=<tweepy.api.API object at 0x7f55aaf4ca50>, country_code=u'US', url=u'https://api.twitter.com/1.1/geo/id/980a9eae2c34df40.json', country=u'United States', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f55aaf4ca50>, type=u'Polygon', coordinates=[[[-90.483408, 36.714733], [-90.348266, 36.714733], [-90.348266, 36.804024], [-90.483408, 36.804024]]]), contained_within=[], full_name=u'Poplar Bluff, MO', attributes={}, id=u'980a9eae2c34df40', name=u'Poplar Bluff')",29,6,en
2017-02-04 23:42:03,828025859349049346,"#DonaldTrump Says: Why aren't the lawyers looking at and using the Federal Court decision in Boston, which is at conflict with ridiculous l…",4828469940,,,Vets for Donald,United States,,4550,10930,en
2017-02-04 23:41:40,828025762213199872,"RT @FoxNews: Jim Gray: ""[Tom Brady] is a loyal, honorable guy, and he is not going to give up on #DonaldTrump, particularly after he defend…",728699776066150400,,,Rosa,,,372,213,en
2017-02-04 23:41:14,828025654742446080,#DonaldTrump Takes Aim at Ted Cruz Again #DonaldTrump https://t.co/PMEU3cqxY9 https://t.co/ZzewZijUya,3035472579,,,Magda,usa,,13907,13002,en
2017-02-04 23:37:26,828024699363926016,"RT @VetsForDonald: #DonaldTrump Says: Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our cou…",1526240240,,,J.C.,,,75,212,en
2017-02-04 23:32:11,828023376727793664,Media Beaten… Brokaw Astonishingly Admits Trump’s SCOTUS Pick Is Impressive https://t.co/6TmpvGKhDx    🇺🇸… https://t.co/WoEmb7Qxsr,1080802346,,,AMERICAN NEWS,Estados Unidos,,1,1258,en
2017-02-04 23:32:07,828023358331576320,"RED ALERT: GOP Betrays Us… Tries Sneak Play on Abortion, Gov. Healthcare https://t.co/U7TAFjR5gG    🇺🇸  #DonaldTrump https://t.co/DoORfm7wQY",1080802346,,,AMERICAN NEWS,Estados Unidos,,1,1258,en
2017-02-04 23:31:56,828023314476064769,"It's no use #DonaldTrump prohibit Muslims entering USA: terrorists recruit people from inside, through the Internet, if they want it",89235737,,,NEI ROSA,RIO DE JANEIRO,,31,16,en
2017-02-04 23:26:01,828021824655073281,RT @truthout: Why aren't Senate Democrats supporting the mass movement against #DonaldTrump? https://t.co/eLssjy6H9d,44979370,,,ariane jones,,,19,31,en
2017-02-04 23:23:27,828021177398468608,RT @EnviroNews: Hilarious Japanese Animation Goes Viral: ‘#DonaldTrump Elected World President’ https://t.co/ykzwcMnqnc @EnviroNews https:/…,138898251,,,Beate Smeding-Kurth,"Groningen, Niederlande",,2873,736,en
2017-02-04 23:21:19,828020640565301253,"RT @profesortbaker: #Trump Picks #WallStreet Over #MainStreet: 
#DonaldTrump has forgotten his voters who put him in the White House. 
http…",759205132391313408,,,Little Red,,,424,536,en
2017-02-04 23:20:32,828020445266006017,RT @FoxNews: Here's what President #DonaldTrump did in week two of his presidency. https://t.co/glJLO2tlPA,806569961053421568,,,Jo Ann McGlamery,"Summerville, SC",,35,9,en
2017-02-04 23:17:34,828019698864422912,RT @SHO_TheCircus: .@MarkHalperin &amp; @Jheil speak w/ #DonaldTrump about his debate w/ #HilaryClinton. Tomorrow see more #BTS footage in the…,281048256,,,Josh,,,776,1639,en
2017-02-04 23:14:44,828018984180207616,Behind Trump’s Back!!! A ‘Rogue’ Group of Staffers  Tweeting Secrets fro...#DonaldTrump   Be careful  https://t.co/SAMSsedcZq,3400758797,,,Janis James,"St Louis, MO",,124,8,en
2017-02-04 23:11:01,828018051551547394,RT @FoxNews: Here's what President #DonaldTrump did in week two of his presidency. https://t.co/glJLO2tlPA,3253906285,,,angelo franceschini,"Ontario, Canada",,98,150,en
2017-02-04 23:11:01,828018049802465281,"Irish magazine under fire for encouraging the assassination of #DonaldTrump, asking ""Why not?"" https://t.co/g2WApmq6Xb",769547165748305920,,,Babalo,South Africa,,734,310,en
2017-02-04 23:10:34,828017938368061440,"Meet The Man Behind The Hilarious ""Trump Draws"" Twitter Account https://t.co/9Zl8m30W8o 👈   #DonaldTrump    🇺🇸 https://t.co/KYIro82b8m",1066746841,,,AMERICA NEWS,Estados Unidos,,66,1172,en
2017-02-04 23:08:01,828017294693502976,"@bethfukumoto Way to go, Rep. #BethFukumoto for rebuking #DonaldTrump at the #Women'sMarch: ... https://t.co/x9UsSmMWId",200701910,,,Robbin Perry,"NewJersey, United States",,2114,1284,en
2017-02-04 23:07:23,828017133128790017,RT @BernieCrats1: RT jeffrae: Thousands are currently rallying against #DonaldTrump at #stonewallinn in #nyc https://t.co/NvmI4zYwb9,821209893113712640,,,Michael McElmury,,,120,18,en
2017-02-04 22:58:53,828014996323987456,"We have 2 #Cats, 1 is #bullying the other &amp; my 4yr old said, ""Hey, u r being a bully like #DonaldTrump"" #ChildrenKnowBest #ProudMom #Toddler",4437815832,,,MrsPeace,United States,,257,46,en
2017-02-04 22:58:09,828014811585798145,Chelsea Talks Fake News on Twitter… Instantly Learns What a Horrible Idea It Was https://t.co/OsQHfNnMrY    🇺🇸… https://t.co/cubPQNZSEb,1080802346,,,AMERICAN NEWS,Estados Unidos,,1,1258,en
2017-02-04 22:58:07,828014804228911104,SHOCK: How Trump Could Save $1 TRILLION Tax Dollars With 1 Signature https://t.co/iNchIhUXsP    🇺🇸  #DonaldTrump https://t.co/HDnSyuN3IO,1080802346,,,AMERICAN NEWS,Estados Unidos,,1,1258,en
2017-02-04 22:54:11,828013813136052225,#DonaldTrump is like the Pied Piper of racist poor and privileged azsholes in America. He is such a turd he falls out of horses at parades,1328154991,,,2Stains,"St Louis, MO",,356,224,en
2017-02-04 22:52:14,828013320934338560,RT @FoxNews: Here's what President #DonaldTrump did in week two of his presidency. https://t.co/glJLO2tlPA,61199871,,,Linda Cox,,,552,260,en
2017-02-04 22:51:28,828013128562642945,"#Trump Picks #WallStreet Over #MainStreet: 
#DonaldTrump has forgotten his voters who put him in the White House. 
https://t.co/wwmOQ8L1qQ",108277226,,,Thomas Jerome Baker,Santiago de Chile,,21281,20581,en
2017-02-04 22:50:02,828012767693135876,Americans must face the fact that today’s Democratic Party is evil - @TheDemocrats #DonaldTrump https://t.co/2kmCAoRjoi,31403998,,,Vince From The Burgh,United States,,201,84,en
2017-02-04 22:44:30,828011374592692224,This Der Spiegel Trump cover is stunning #statueofliberty #EbelRodriguez #DerSpiegel #donaldtrump #magazinecover  https://t.co/uXxDUTABU4,4277241133,,,Speak out!,USA,,2606,786,en
2017-02-04 22:42:21,828010834429349888,RT @Ratpack09: Don't forget to boycott Super Bowl halftime show. I #NFL #SuperBowl #DonaldTrump #FranklinGraham,45657799,,,Robin  Morgan,Everywhere,,4374,2609,en
2017-02-04 22:41:02,828010503972663297,LA County Is Telling Illegal Immigrants How to Get Free Money/Benefits Paid for by Working… https://t.co/YC5gFJg7yL… https://t.co/3YgIpHRxZn,1080802346,,,AMERICAN NEWS,Estados Unidos,,1,1258,en
2017-02-04 22:41:01,828010498096443392,VIDEO: Berkeley Students SUPPORT Man Waving ISIS Flag – Then ATTACK Same Guy When He Waves… https://t.co/db5SdwHKWc… https://t.co/DKGJdlHGfa,1080802346,,,AMERICAN NEWS,Estados Unidos,,1,1258,en
